,Unnamed: 0,Unnamed: 0.1,ch1_file,ch2_file,angle,shift,spec_ch1_files,spec_ch2_files,spec_gray_ch1_files,spec_gray_ch2_files
0,0,0,soundfiles//ch1//0_0_1000.wav,soundfiles//ch2//0_0_1000.wav,161.77232720575344,-122,C:\sound\spectrograms\soundfiles\ch1\0_0_1000.png,C:\sound\spectrograms\soundfiles\ch2\0_0_1000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_0_1000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_0_1000.jpg
1,1,1,soundfiles//ch1//1_0_1000.wav,soundfiles//ch2//1_0_1000.wav,134.7609245638597,-90,C:\sound\spectrograms\soundfiles\ch1\0_10000_11000.png,C:\sound\spectrograms\soundfiles\ch2\0_10000_11000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_10000_11000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_10000_11000.jpg
2,2,2,soundfiles//ch1//2_0_1000.wav,soundfiles//ch2//2_0_1000.wav,115.0015638307502,-54,C:\sound\spectrograms\soundfiles\ch1\0_1000_2000.png,C:\sound\spectrograms\soundfiles\ch2\0_1000_2000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_1000_2000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_1000_2000.jpg
3,3,3,soundfiles//ch1//3_0_1000.wav,soundfiles//ch2//3_0_1000.wav,34.461580708283265,106,C:\sound\spectrograms\soundfiles\ch1\0_11000_12000.png,C:\sound\spectrograms\soundfiles\ch2\0_11000_12000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_11000_12000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_11000_12000.jpg
4,4,4,soundfiles//ch1//4_0_1000.wav,soundfiles//ch2//4_0_1000.wav,179.1494366052363,-128,C:\sound\spectrograms\soundfiles\ch1\0_12000_13000.png,C:\sound\spectrograms\soundfiles\ch2\0_12000_13000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_12000_13000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_12000_13000.jpg
5,5,5,soundfiles//ch1//5_0_1000.wav,soundfiles//ch2//5_0_1000.wav,123.15003392382178,-70,C:\sound\spectrograms\soundfiles\ch1\0_13000_14000.png,C:\sound\spectrograms\soundfiles\ch2\0_13000_14000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_13000_14000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_13000_14000.jpg
6,6,6,soundfiles//ch1//6_0_1000.wav,soundfiles//ch2//6_0_1000.wav,154.1471841699507,-115,C:\sound\spectrograms\soundfiles\ch1\0_14000_15000.png,C:\sound\spectrograms\soundfiles\ch2\0_14000_15000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_14000_15000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_14000_15000.jpg
7,7,7,soundfiles//ch1//7_0_1000.wav,soundfiles//ch2//7_0_1000.wav,8.203854650039524,127,C:\sound\spectrograms\soundfiles\ch1\0_15000_16000.png,C:\sound\spectrograms\soundfiles\ch2\0_15000_16000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_15000_16000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_15000_16000.jpg
8,8,8,soundfiles//ch1//8_0_1000.wav,soundfiles//ch2//8_0_1000.wav,88.62945326590355,3,C:\sound\spectrograms\soundfiles\ch1\0_16000_17000.png,C:\sound\spectrograms\soundfiles\ch2\0_16000_17000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_16000_17000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_16000_17000.jpg
9,9,9,soundfiles//ch1//9_0_1000.wav,soundfiles//ch2//9_0_1000.wav,177.5448956980588,-128,C:\sound\spectrograms\soundfiles\ch1\0_17000_18000.png,C:\sound\spectrograms\soundfiles\ch2\0_17000_18000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_17000_18000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_17000_18000.jpg
10,10,10,soundfiles//ch1//10_0_1000.wav,soundfiles//ch2//10_0_1000.wav,95.81642367695969,-13,C:\sound\spectrograms\soundfiles\ch1\0_18000_19000.png,C:\sound\spectrograms\soundfiles\ch2\0_18000_19000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_18000_19000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_18000_19000.jpg
11,11,11,soundfiles//ch1//11_0_1000.wav,soundfiles//ch2//11_0_1000.wav,24.70665880333233,116,C:\sound\spectrograms\soundfiles\ch1\0_19000_20000.png,C:\sound\spectrograms\soundfiles\ch2\0_19000_20000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_19000_20000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_19000_20000.jpg
12,12,12,soundfiles//ch1//12_0_1000.wav,soundfiles//ch2//12_0_1000.wav,34.63124359053084,105,C:\sound\spectrograms\soundfiles\ch1\0_20000_21000.png,C:\sound\spectrograms\soundfiles\ch2\0_20000_21000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_20000_21000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_20000_21000.jpg
13,13,13,soundfiles//ch1//13_0_1000.wav,soundfiles//ch2//13_0_1000.wav,93.23365791305687,-7,C:\sound\spectrograms\soundfiles\ch1\0_2000_3000.png,C:\sound\spectrograms\soundfiles\ch2\0_2000_3000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_2000_3000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_2000_3000.jpg
14,14,14,soundfiles//ch1//14_0_1000.wav,soundfiles//ch2//14_0_1000.wav,47.42348051342694,86,C:\sound\spectrograms\soundfiles\ch1\0_21000_22000.png,C:\sound\spectrograms\soundfiles\ch2\0_21000_22000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_21000_22000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_21000_22000.jpg
15,15,15,soundfiles//ch1//15_0_1000.wav,soundfiles//ch2//15_0_1000.wav,89.06058770237739,2,C:\sound\spectrograms\soundfiles\ch1\0_22000_23000.png,C:\sound\spectrograms\soundfiles\ch2\0_22000_23000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_22000_23000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_22000_23000.jpg
16,16,16,soundfiles//ch1//16_0_1000.wav,soundfiles//ch2//16_0_1000.wav,45.800971474807305,89,C:\sound\spectrograms\soundfiles\ch1\0_23000_24000.png,C:\sound\spectrograms\soundfiles\ch2\0_23000_24000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_23000_24000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_23000_24000.jpg
17,17,17,soundfiles//ch1//17_0_1000.wav,soundfiles//ch2//17_0_1000.wav,18.489082668448727,121,C:\sound\spectrograms\soundfiles\ch1\0_24000_25000.png,C:\sound\spectrograms\soundfiles\ch2\0_24000_25000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_24000_25000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_24000_25000.jpg
18,18,18,soundfiles//ch1//18_0_1000.wav,soundfiles//ch2//18_0_1000.wav,95.36626366053648,-12,C:\sound\spectrograms\soundfiles\ch1\0_25000_26000.png,C:\sound\spectrograms\soundfiles\ch2\0_25000_26000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_25000_26000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_25000_26000.jpg
19,19,19,soundfiles//ch1//19_0_1000.wav,soundfiles//ch2//19_0_1000.wav,7.155259507014387,127,C:\sound\spectrograms\soundfiles\ch1\0_26000_27000.png,C:\sound\spectrograms\soundfiles\ch2\0_26000_27000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_26000_27000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_26000_27000.jpg
20,20,20,soundfiles//ch1//20_0_1000.wav,soundfiles//ch2//20_0_1000.wav,53.66756593125042,76,C:\sound\spectrograms\soundfiles\ch1\0_27000_28000.png,C:\sound\spectrograms\soundfiles\ch2\0_27000_28000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_27000_28000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_27000_28000.jpg
21,21,21,soundfiles//ch1//21_0_1000.wav,soundfiles//ch2//21_0_1000.wav,47.671607468444485,86,C:\sound\spectrograms\soundfiles\ch1\0_28000_29000.png,C:\sound\spectrograms\soundfiles\ch2\0_28000_29000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_28000_29000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_28000_29000.jpg
22,22,22,soundfiles//ch1//22_0_1000.wav,soundfiles//ch2//22_0_1000.wav,63.496705787623256,57,C:\sound\spectrograms\soundfiles\ch1\0_29000_30000.png,C:\sound\spectrograms\soundfiles\ch2\0_29000_30000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_29000_30000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_29000_30000.jpg
23,23,23,soundfiles//ch1//23_0_1000.wav,soundfiles//ch2//23_0_1000.wav,178.60969059355622,-128,C:\sound\spectrograms\soundfiles\ch1\0_30000_31000.png,C:\sound\spectrograms\soundfiles\ch2\0_30000_31000.png,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch1\0_30000_31000.jpg,C:\sound\spectrograms\soundfiles_grayscale\soundfiles\ch2\0_30000_31000.jpg
